customerid,loanno,Month,Loan Amount,EMI Amount,Interest Rate (%),Repayment Period (Months),Credit Score,Credit History (Years),Outstanding Balance Amount,Bank Statement,payment
Cus0003,Loan0003,February,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,March,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,April,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,May,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,June,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,July,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,August,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,September,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,October,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,November,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0003,December,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
Cus0003,Loan0004,January,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,February,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,March,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,April,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,May,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,June,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,July,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,August,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,September,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",0
Cus0003,Loan0004,October,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,November,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0003,Loan0004,December,396631.6,10769.42,13.97,41,636,9,55381.8,"Transactions: 24, Deposits: 60523.13, Withdrawals: 33646.74",1
Cus0004,Loan0010,January,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,February,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,March,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,April,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,May,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",0
Cus0004,Loan0010,June,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,July,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,August,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,September,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,October,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,November,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0010,December,308598.93,14981.28,4.66,43,623,2,265735.44,"Transactions: 5, Deposits: 66470.14, Withdrawals: 81287.14",1
Cus0004,Loan0007,January,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,February,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,March,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,April,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,May,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,June,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,July,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,August,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,September,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,October,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,November,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0007,December,326647.99,8444.69,7.58,41,735,9,317200.8,"Transactions: 28, Deposits: 94818.78, Withdrawals: 71225.51",1
Cus0004,Loan0009,January,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,February,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,March,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",0
Cus0004,Loan0009,April,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,May,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,June,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,July,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,August,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",0
Cus0004,Loan0009,September,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",0
Cus0004,Loan0009,October,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,November,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0004,Loan0009,December,234365.52,14193.52,12.01,53,687,4,68786.31,"Transactions: 6, Deposits: 50835.13, Withdrawals: 95843.43",1
Cus0005,Loan0005,January,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,February,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,March,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,April,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,May,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,June,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,July,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",0
Cus0005,Loan0005,August,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,September,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,October,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0005,November,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",0
Cus0005,Loan0005,December,352304.5,8744.88,10.5,52,729,20,70077.28,"Transactions: 12, Deposits: 78625.97, Withdrawals: 58544.11",1
Cus0005,Loan0009,January,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,February,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,March,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,April,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,May,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,June,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,July,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,August,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,September,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,October,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,November,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0009,December,433587.94,11712.48,3.01,32,725,1,48504.5,"Transactions: 12, Deposits: 89084.97, Withdrawals: 84849.9",1
Cus0005,Loan0003,January,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,February,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,March,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,April,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,May,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,June,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,July,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,August,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,September,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,October,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0005,Loan0003,November,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",0
Cus0005,Loan0003,December,292254.24,8405.48,13.54,17,621,16,238486.26,"Transactions: 25, Deposits: 57943.56, Withdrawals: 21318.45",1
Cus0006,Loan0008,January,279516.99,14107.03,8.08,25,837,18,211109.45,"Transactions: 23, Deposits: 28103.6, Withdrawals: 38054.47",1
Cus0006,Loan0008,February,279516.99,14107.03,8.08,25,837,18,211109.45,"Transactions: 23, Deposits: 28103.6, Withdrawals: 38054.47",1
Cus0006,Loan0008,March,279516.99,14107.03,8.08,25,837,18,211109.45,"Transactions: 23, Deposits: 28103.6, Withdrawals: 38054.47",0
Cus0006,Loan0008,April,279516.99,14107.03,8.08,25,837,18,211109.45,"Transactions: 23, Deposits: 28103.6, Withdrawals: 38054.47",1
Cus0006,Loan0008,May,279516.99,14107.03,8.08,25,837,18,211109.45,"Transactions: 23, Deposits: 28103.6, Withdrawals: 38054.47",1
Cus0006,Loan0008,June,279516.99,14107.03,8.08,25,837,18,211109.45,"Transactions: 23, Deposits: 28103.6, Withdrawals: 38054.47",1
Cus0006,Loan0008,July,279516.99,14107.03,8.08,25,837,18,211109.45,"Transactions: 23, Deposits: 28103.6, Withdrawals: 38054.47",1
